Case_Number,Date,Buyout_Amount,Number_of_Tenants,Address,Buyout_Agreement_Source_Zipcode,Supervisor_District,Neighborhoods_Analysis_Boundaries,Location
B163565,11/15/2016,"$7,500.00",1,2600 Block Of Sacramento Street,94115,2,Pacific Heights,"37.78947120183, -122.436485055904"
B163622,11/15/2016,,,100 Block Of Alhambra Street,94123,2,Marina,"37.8020349437005, -122.438832002132"
B163624,11/15/2016,,,800 Block Of South Van Ness Avenue,94110,9,Mission,"37.7595697861458, -122.416880162067"
B163625,11/15/2016,,,800 Block Of South Van Ness Avenue,94110,9,Mission,"37.7595697861458, -122.416880162067"
B163626,11/15/2016,,,1100 Block Of York Street,94110,9,Mission,"37.753656818683, -122.408196896959"
B163627,11/15/2016,,,1100 Block Of York Street,94110,9,Mission,"37.753656818683, -122.408196896959"
B163561,11/14/2016,,,900 Block Of Greenwich Street,94133,3,Russian Hill,"37.8015015067686, -122.415530627366"
B163562,11/14/2016,,,900 Block Of Greenwich Street,94133,3,Russian Hill,"37.8015015067686, -122.415530627366"
B163563,11/14/2016,"$102,053.00",1,900 Block Of Greenwich Street,94133,3,Russian Hill,"37.8015015067686, -122.415530627366"
B163560,11/10/2016,,,400 Block Of Grove Street,94102,5,Hayes Valley,"37.7777627622532, -122.423998389761"
B163559,11/09/2016,,,400 Block Of Funston Avenue,94118,1,Inner Richmond,"37.7797197443233, -122.471637916781"
B163558,11/08/2016,"$30,000.00",2,1000 Block Of Natoma Street,94103,6,Mission,"37.7731377856338, -122.416456977713"
B163554,11/07/2016,,,1100 Block Of Polk Street,94109,3,Nob Hill,"37.7870450615042, -122.420042095217"
B163555,11/07/2016,,,200 Block Of Brussels Street,94134,9,Portola,"37.7288995907568, -122.406395327858"
B163556,11/07/2016,,,4300 Block Of 18th Street,94114,8,Castro/Upper Market,"37.7607799796, -122.437733322247"
B163557,11/07/2016,"$40,000.00",2,1000 Block Of Sutter Street,94109,3,Nob Hill,"37.7881263032894, -122.417657213518"
